id,signum,location,parish,province,country,municipality,county,landscape,longitude,latitude,coordinate_status,comment
64ffb7be-80aa-49cf-bad1-58b7947280a8,Charnay,Charnay,Charnay,,France,,,,2.0934,48.898,HAS_COORDINATES,COORDS_OK
203be580-6881-4de6-906b-46ffe833f970,Le Mans,Le Mans,Le Mans,,France,,,,0.1996,48.0061,HAS_COORDINATES,COORDS_OK
4c45de11-1cf7-4368-b3ed-2e8173b48986,Saint-Dizier,Saint-Dizier,Saint-Dizier,,France,,,,4.9489,48.6373,HAS_COORDINATES,COORDS_OK
ac22cec6-591c-44af-97b6-0089e8967921,KJ 47,Dahmsdorf,Svarteborgs socken,Brandenburg,Germany,Munkedal,,,10.4,55.4,HAS_COORDINATES,DUPLICATE_INCORRECT_COORDS - Wrong generic coordinate
699d9b51-cc8f-4b0e-b9f6-9e20a5692c29,KJ 01,Osterrönfeld,,Schleswig-Holstein,Germany,,,,10.4,55.4,HAS_COORDINATES,DUPLICATE_INCORRECT_COORDS - Wrong generic coordinate
96c624cb-3b50-4cd8-a4cf-c1e6f8aab328,KJ 02,Meldorf,,Schleswig-Holstein,Germany,,,,10.4,55.4,HAS_COORDINATES,DUPLICATE_INCORRECT_COORDS - Wrong generic coordinate
f5c0203c-8bbe-44e0-9e15-5294b890b480,KJ 28,Thorsberg/Torsbjerg,Flemløse sogn,Schleswig-Holstein,Germany,Assens,,,10.4,55.4,HAS_COORDINATES,DUPLICATE_INCORRECT_COORDS - Wrong generic coordinate
f14ac828-cf80-4cd8-8211-fc9850b185e7,KJ 39,Thorsberg,Gran/Tingelstad sogn,Schleswig-Holstein,Germany,Gran,,,10.4,55.4,HAS_COORDINATES,DUPLICATE_INCORRECT_COORDS - Wrong generic coordinate
fe917fc5-125e-4451-a5c2-3639bff3108f,Pireuslejonet,Pireus,Pireus,,Greece,,,,23.637,37.9469,HAS_COORDINATES,COORDS_OK
1f3f9e2a-3597-41f6-87a7-521c63d273d8,Gr 1,Kingittorsuaq,Kingittorsuaq,,Greenland,,,,-55,73,HAS_COORDINATES,COORDS_OK - Greenland coordinates need verification
